sku,description,category,unit_cost,reorder_point,safety_stock,on_hand_qty
SKU-1001,Packaging item 1,Packaging,26.05,50,20,524
SKU-1002,Fragrance item 2,Fragrance,7.93,150,40,500
SKU-1003,Fragrance item 3,Fragrance,2.8,50,60,348
SKU-1004,Packaging item 4,Packaging,25.45,300,80,70
SKU-1005,Skincare item 5,Skincare,39.74,200,20,62
SKU-1006,Packaging item 6,Packaging,27.6,200,60,395
SKU-1007,Packaging item 7,Packaging,2.12,200,60,172
SKU-1008,Tools item 8,Tools,5.98,50,40,294
SKU-1009,Haircare item 9,Haircare,31.33,200,80,508
SKU-1010,Skincare item 10,Skincare,7.99,200,60,140
SKU-1011,Fragrance item 11,Fragrance,36.45,150,80,367
SKU-1012,Fragrance item 12,Fragrance,40.28,100,20,180
SKU-1013,Haircare item 13,Haircare,10.66,100,20,496
SKU-1014,Tools item 14,Tools,8.64,150,20,149
SKU-1015,Fragrance item 15,Fragrance,23.01,300,60,128
SKU-1016,Tools item 16,Tools,39.97,50,80,572
SKU-1017,Fragrance item 17,Fragrance,17.44,200,20,493
SKU-1018,Fragrance item 18,Fragrance,3.74,50,40,451
SKU-1019,Haircare item 19,Haircare,5.69,300,20,104
SKU-1020,Skincare item 20,Skincare,24.32,300,20,372
SKU-1021,Tools item 21,Tools,2.24,100,80,152
SKU-1022,Packaging item 22,Packaging,40.18,300,60,485
SKU-1023,Skincare item 23,Skincare,5.91,200,80,491
SKU-1024,Fragrance item 24,Fragrance,13.92,100,20,350
SKU-1025,Packaging item 25,Packaging,20.73,100,20,210
SKU-1026,Tools item 26,Tools,15.96,300,20,540
SKU-1027,Packaging item 27,Packaging,41.12,50,60,530
SKU-1028,Packaging item 28,Packaging,38.26,150,40,545
SKU-1029,Tools item 29,Tools,32.99,150,40,199
SKU-1030,Haircare item 30,Haircare,34.59,100,40,530
SKU-1031,Fragrance item 31,Fragrance,15.71,50,20,286
SKU-1032,Fragrance item 32,Fragrance,11.77,300,60,457
SKU-1033,Packaging item 33,Packaging,40.16,150,20,225
SKU-1034,Skincare item 34,Skincare,10.46,100,60,209
SKU-1035,Fragrance item 35,Fragrance,26.66,300,20,490
SKU-1036,Packaging item 36,Packaging,33.83,50,20,397
SKU-1037,Haircare item 37,Haircare,20.7,100,80,340
SKU-1038,Skincare item 38,Skincare,33.87,200,80,411
SKU-1039,Skincare item 39,Skincare,30.77,100,40,28
SKU-1040,Haircare item 40,Haircare,25.31,200,40,485
SKU-1041,Packaging item 41,Packaging,7.56,300,40,21
SKU-1042,Skincare item 42,Skincare,33.81,50,40,444
SKU-1043,Haircare item 43,Haircare,34.91,100,20,257
SKU-1044,Haircare item 44,Haircare,13.15,100,60,265
SKU-1045,Tools item 45,Tools,18.3,100,20,362
SKU-1046,Fragrance item 46,Fragrance,28.23,300,80,513
SKU-1047,Haircare item 47,Haircare,22.9,300,20,450
SKU-1048,Haircare item 48,Haircare,26.03,100,40,144
SKU-1049,Fragrance item 49,Fragrance,26.46,50,20,333
SKU-1050,Tools item 50,Tools,22.85,200,20,573
SKU-1051,Skincare item 51,Skincare,11.34,150,20,100
SKU-1052,Tools item 52,Tools,19.65,50,20,453
SKU-1053,Packaging item 53,Packaging,26.19,300,40,283
SKU-1054,Fragrance item 54,Fragrance,21.93,200,40,535
SKU-1055,Packaging item 55,Packaging,38.85,100,80,140
SKU-1056,Fragrance item 56,Fragrance,6.16,200,60,74
SKU-1057,Haircare item 57,Haircare,18.68,100,60,125
SKU-1058,Haircare item 58,Haircare,39.53,150,40,259
SKU-1059,Haircare item 59,Haircare,40.68,100,20,407
SKU-1060,Fragrance item 60,Fragrance,7.84,100,40,441
