po_id,supplier_id,sku,order_date,promised_date,received_date,qty_ordered,qty_received,unit_cost,freight_cost
PO-5001,13,SKU-1022,2025-01-09,2025-01-24,2025-01-23,100,100,40.18,5.58
PO-5002,18,SKU-1030,2025-01-09,2025-01-20,2025-01-20,250,250,34.59,34.66
PO-5003,3,SKU-1008,2025-01-12,2025-01-30,2025-01-27,100,100,5.98,6.19
PO-5004,25,SKU-1012,2025-01-08,2025-01-31,2025-01-31,1000,1000,40.28,127.58
PO-5005,5,SKU-1035,2025-01-10,2025-01-20,2025-01-19,100,100,26.66,28.99
PO-5006,6,SKU-1028,2025-01-06,2025-01-23,2025-01-20,1000,933,38.26,75.12
PO-5007,8,SKU-1005,2025-01-08,2025-01-24,2025-01-24,100,100,39.74,21.59
PO-5008,9,SKU-1040,2025-01-07,2025-01-24,2025-01-22,100,100,25.31,12.86
PO-5009,6,SKU-1013,2025-01-08,2025-01-25,2025-01-23,250,250,10.66,62.91
PO-5010,9,SKU-1023,2025-01-12,2025-01-29,2025-01-28,100,76,5.91,20.17
PO-5011,7,SKU-1033,2025-01-09,2025-01-29,2025-01-29,100,100,40.16,24.5
PO-5012,22,SKU-1032,2025-01-10,2025-02-04,2025-02-17,750,750,11.77,85.92
PO-5013,8,SKU-1022,2025-01-07,2025-01-23,2025-01-21,500,500,40.18,172.28
PO-5014,5,SKU-1001,2025-01-06,2025-01-16,2025-01-15,500,500,26.05,37.67
PO-5015,17,SKU-1043,2025-01-15,2025-02-04,2025-02-03,100,100,34.91,9.73
PO-5016,15,SKU-1001,2025-01-15,2025-02-04,2025-02-03,750,750,26.05,45.25
PO-5017,10,SKU-1014,2025-01-15,2025-01-29,2025-01-28,500,464,8.64,100.41
PO-5018,7,SKU-1016,2025-01-17,2025-02-06,2025-02-03,250,250,39.97,23.29
PO-5019,19,SKU-1003,2025-01-16,2025-02-08,2025-02-07,1000,1000,2.8,225.67
PO-5020,17,SKU-1055,2025-01-19,2025-02-08,2025-02-08,250,250,38.85,49.56
PO-5021,10,SKU-1047,2025-01-17,2025-01-31,2025-01-28,1000,1000,22.9,238.2
PO-5022,24,SKU-1045,2025-01-19,2025-02-04,2025-02-01,1000,1000,18.3,317.85
PO-5023,22,SKU-1045,2025-01-18,2025-02-12,2025-02-09,100,100,18.3,15.82
PO-5024,4,SKU-1025,2025-01-19,2025-02-02,2025-01-30,1000,863,20.73,254.2
PO-5025,16,SKU-1017,2025-01-13,2025-01-23,2025-01-20,1000,1000,17.44,319.36
PO-5026,3,SKU-1043,2025-01-17,2025-02-04,2025-02-04,250,250,34.91,75.96
PO-5027,24,SKU-1049,2025-01-21,2025-02-06,2025-02-06,500,500,26.46,36.51
PO-5028,22,SKU-1019,2025-01-26,2025-02-20,2025-02-18,100,100,5.69,14.95
PO-5029,21,SKU-1048,2025-01-25,2025-02-14,2025-02-12,100,100,26.03,19.57
PO-5030,22,SKU-1007,2025-01-25,2025-02-19,2025-02-19,250,250,2.12,33.92
PO-5031,15,SKU-1030,2025-01-26,2025-02-15,2025-02-13,250,250,34.59,82.72
PO-5032,1,SKU-1019,2025-01-23,2025-02-11,2025-02-11,250,250,5.69,81.24
